Title,Company,Location,Timestamp,Job Highlights,Job Highlights Items,Qualifications,Qualifications Items,Benefits,Benefits Items,Responsibilities,Responsibilities Items,Job Description
INTERN – Data Governance and AI Governance,United Nations,"New York, NY • via UN Jobs",2025-01-08T20:38:57.717559,,,,,,,,,"Job title:

INTERN – Data Governance and AI Governance

Company

United Nations

Job description

In person in New York or remote, full time or part time modalities would be considered.Expected duration2 months with an opportunity for extension up to 6 months – Expected start date early June 2024Duties and ResponsibilitiesThe Office of Information and Communications Technology (OICT) is leading th
e digital transformation of the Organization to enable a better, safer, more sustainable future through secure, reliable, and innovative technology solutions. OICT is committed to achieving 50/50 gender balance and geographical diversity in its staff, and female candidates are strongly encouraged to apply for this position. OICT supports the principles of work-life balance and flexible work arrangements. The Policy, Strategy and Governance Division enables the UN Secretariat to deliver effectively on its mandate through responsible and innovative use of data, information and technology. We provide expertise in information technology to enable, protect and advance the work of the UN. This internship position is located in the Office of Information and Communications Technology (OICT), under the Policy, Strategy and Governance Division. The internship is for two months with an opportunity for extension up to six months, depending on the needs of the Office. Interns work for up to five days per week (35 hours) under the supervision of an Information Management Officer. The internship is UNPAID and can either be full-time or part-time . Responsibilities Under the overall supervision of the Chief or her designated officer, the intern will contribute to the Division’s work streams in data management, data governance, AI governance, policy gap analysis, as well as designing tool(s) for AI impact assessment and compliance monitoring. The intern may be involved in the following activities. Data governance and AI governance – Conduct AI model research and keep the team abreast with the latest AI model development as well as their application scopes; – Conduct research on AI governance trends and approaches within UN Secretariat, UN system organizations, member states, as well as leading academia and private organizations, and contribute to the work of establishing the AI governance for the Secretariat; – Contribute to the work of identifying common data requirements to facilitate more efficient and effective AI-driven tool(s) deployment; – Conduct research on AI impact assessment and ethical use of AI, and contribute to the formulation of an AI impact analysis model for the Secretariat. Data management and data analytics – Assist the team to create monitoring dashboard that could enhance the team’s capability of monitoring the implementation of established policies and guidelines in various technical platforms within the Secretariat; – Assist the team to design data-driven service impact analysis instrument, which could include designing data collection method, creating analyzing report(s), and proposing service improvement approach based on the data analysis results. – Contribute to building semantic network and knowledge graphs that are required to support AI and data analysis use-cases.Qualifications/special skillsEducation: To qualify for an internship by the United Nations Headquarters Internship Programme, the following conditions must be met: Applicants must meet one of the following requirements: (1) Be enrolled in a graduate school programme (second university degree or equivalent, or higher); (2) Be enrolled in the FINAL academic year of a university degree programme (minimum Bachelor’s level or equivalent); or No working experience is required to apply for the United Nations Internship Programme. Your training, education, advance course work or skills should benefit the United Nations during your internship. Potential candidates will be contacted by the hiring manager directly for further consideration.LanguagesEnglish and French are the working languages of the United Nations Secretariat. For this position advertised, fluency in English is required. Knowledge of another official UN language is desirable.Additional InformationVisa and Work Authorization Mandatory Requirements: For internships in the United States of America, interns who are not United States citizens, permanent residents or on another non-immigrant (such as F1 visa) status, will be required to obtain a G4 visa. Interns will be responsible for ensuring that they have a valid visa, and if required, employment authorization (CPT/OPT), allowing them to undertake the internship. Terms of the internship programme: -The minimum duration of this internship is three months which can be extended up to a total period of six months. -Interns are expected to work on a full-time or part-time basis in the entity that has selected them, under the supervision of a staff member at an appropriate level. The working hours will be discussed with your supervisor at the time of the interview. Internships may be undertaken on the basis of flexible working arrangements if: -The receiving entity agrees in writing to accept an intern on the basis of flexible working arrangements. -Interns agree that they are required to work the equivalent of a minimum of at least two months on a full-time basis or four months on a part-time basis in order to receive recognition of service as an intern. An internship under such arrangements must be completed within a six – month period. -A record of attendance shall be maintained by the receiving entity in order to ensure that the intern meets this requirement. -Interns serving in one entity do not have a right to transfer to another entity. -Full provisions related to the conditions and terms of the United Nations Internship Programme can be accessed on the following link: https://undocs.org/ST/AI/2020/1 . Potential candidates will be contacted by the Hiring Manager directly for further consideration.Intern Specific textInterns are not financially remunerated by the United Nations. Costs and arrangements for travel, visas, accommodation and living expenses are the responsibility of interns or their sponsoring institutions. Interns who are not citizens or permanent residents of the country where the internship is undertaken, may be required to obtain the appropriate visa and work/employment authorization. Successful candidates should discuss their specific visa requirements before accepting the internship offer.No FeeTHE UNITED NATIONS DOES NOT CHARGE A FEE AT ANY STAGE OF THE RECRUITMENT PROCESS (APPLICATION, INTERVIEW MEETING, PROCESSING, OR TRAINING). THE UNITED NATIONS DOES NOT CONCERN ITSELF WITH INFORMATION ON APPLICANTS’ BANK ACCOUNTS.

Expected salary

Location

New York City, NY

Job date

Thu, 16 May 2024 04:11:33 GMT

To help us track our recruitment effort, please indicate in your email/cover letter where (un-jobs.net) you saw this job posting.
"
Enterprise AI Governance Intern,Zscaler,"San Jose, CA • via BeBee",2025-01-08T20:39:07.828581,"A JD degree from an ABA accredited law school
Strong legal research and writing skills, with an ability to analyze regulatory frameworks and case law
Interest in data privacy, AI governance, and emerging legal trends","A JD degree from an ABA accredited law school; Strong legal research and writing skills, with an ability to analyze regulatory frameworks and case law; Interest in data privacy, AI governance, and emerging legal trends","A JD degree from an ABA accredited law school
Strong legal research and writing skills, with an ability to analyze regulatory frameworks and case law
Interest in data privacy, AI governance, and emerging legal trends","A JD degree from an ABA accredited law school; Strong legal research and writing skills, with an ability to analyze regulatory frameworks and case law; Interest in data privacy, AI governance, and emerging legal trends","The estimated salary for this role is $25-$50 USD per hour, based on your experience and qualifications
Benefits and Perks
We offer comprehensive benefits, including various health plans, time off options, parental leave, retirement options, education reimbursement, and in-office perks","The estimated salary for this role is $25-$50 USD per hour, based on your experience and qualifications; Benefits and Perks; We offer comprehensive benefits, including various health plans, time off options, parental leave, retirement options, education reimbursement, and in-office perks","The estimated salary for this role is $25-$50 USD per hour, based on your experience and qualifications
Benefits and Perks
We offer comprehensive benefits, including various health plans, time off options, parental leave, retirement options, education reimbursement, and in-office perks","The estimated salary for this role is $25-$50 USD per hour, based on your experience and qualifications; Benefits and Perks; We offer comprehensive benefits, including various health plans, time off options, parental leave, retirement options, education reimbursement, and in-office perks","About Zscaler

We are a pioneering cloud security company that accelerates digital transformation for enterprises worldwide.

Our mission is to make the cloud a safe place to do business, protecting thousands of customers from cyberattacks and data loss.

Our general and administrative teams support our operations, including workforce growth, cultural nurturing, financial and legal management, and
global infrastructure maintenance.

We're looking for a talented individual to join our Legal team as a Data Privacy and Compliance Specialist.

This role involves:
• Creating privacy best practice guides for employees.
• Assisting with the Privacy Team's program gap assessment and enterprise privacy risk evaluation.
• Researching and presenting emerging AI and data privacy trends and regulations, helping Zscaler anticipate and prepare for future changes.
• Conducting legal research on topics like regulatory enforcement decisions and AI issues.
• Learning about product counseling at Zscaler and developing resources related to our product review process.

Qualifications

To succeed in this role, you should have:
• A JD degree from an ABA accredited law school.
• Strong legal research and writing skills, with an ability to analyze regulatory frameworks and case law.
• Interest in data privacy, AI governance, and emerging legal trends.

Salary Range

The estimated salary for this role is $25-$50 USD per hour, based on your experience and qualifications.

Benefits and Perks

We offer comprehensive benefits, including various health plans, time off options, parental leave, retirement options, education reimbursement, and in-office perks.
],
"
Leveraging AI to Address Selected Drivers of Instability in Africa,Zintellect,United States • via Zintellect,2025-01-08T20:39:17.836362,"Previous projects include: 2019 SABLE SPEAR https://www.cia.gov/static/ArticleSableSpearExperimentInAI.pdf; and 2022 COMMON SWIFT: https://www.diu.mil/latest/DIU-successfully-transitions-prototypes-to-counter-foreign-malign-influence
Key Words: Knowledge Graph (KG); domain specific ontologies; taxonomies, adherence to best practices; KG evaluation---accuracy, completeness, data provenance, transparency, and ethical AI/ML employment; test sample KGs against developed criteria; linking convergences within multiple KGs; acquire and review publicly available and commercially available data sets; normalizing data sets to provided ontologies; AI/ML applications in IC","Previous projects include: 2019 SABLE SPEAR https://www.cia.gov/static/ArticleSableSpearExperimentInAI.pdf; and 2022 COMMON SWIFT: https://www.diu.mil/latest/DIU-successfully-transitions-prototypes-to-counter-foreign-malign-influence; Key Words: Knowledge Graph (KG); domain specific ontologies; taxonomies, adherence to best practices; KG evaluation---accuracy, completeness, data provenance, transparency, and ethical AI/ML employment; test sample KGs against developed criteria; linking convergences within multiple KGs; acquire and review publicly available and commercially available data sets; normalizing data sets to provided ontologies; AI/ML applications in IC","Previous projects include: 2019 SABLE SPEAR https://www.cia.gov/static/ArticleSableSpearExperimentInAI.pdf; and 2022 COMMON SWIFT: https://www.diu.mil/latest/DIU-successfully-transitions-prototypes-to-counter-foreign-malign-influence
Key Words: Knowledge Graph (KG); domain specific ontologies; taxonomies, adherence to best practices; KG evaluation---accuracy, completeness, data provenance, transparency, and ethical AI/ML employment; test sample KGs against developed criteria; linking convergences within multiple KGs; acquire and review publicly available and commercially available data sets; normalizing data sets to provided ontologies; AI/ML applications in IC","Previous projects include: 2019 SABLE SPEAR https://www.cia.gov/static/ArticleSableSpearExperimentInAI.pdf; and 2022 COMMON SWIFT: https://www.diu.mil/latest/DIU-successfully-transitions-prototypes-to-counter-foreign-malign-influence; Key Words: Knowledge Graph (KG); domain specific ontologies; taxonomies, adherence to best practices; KG evaluation---accuracy, completeness, data provenance, transparency, and ethical AI/ML employment; test sample KGs against developed criteria; linking convergences within multiple KGs; acquire and review publicly available and commercially available data sets; normalizing data sets to provided ontologies; AI/ML applications in IC",,,,,"Research Topic Description, including Problem Statement:

Automated link analysis generation using KG technology is used to address Violent Extremist Organizations (VEOs) and illicit trafficking of wildlife and natural resources, significant threats to African country stability. AI aggregates analytically relevant data to illuminate the ""what is happening"", including organization hierarchy, locati
ons, key members, relationships between entities, and related events/activities. The project will develop domain-specific ontologies, evaluate KG accuracy, produce lectures/papers, and engage with African partners.

Example Approaches:

This work is the next step of several projects leveraging AI to extract relevant information from open-source data. Previous projects include: 2019 SABLE SPEAR https://www.cia.gov/static/ArticleSableSpearExperimentInAI.pdf; and 2022 COMMON SWIFT: https://www.diu.mil/latest/DIU-successfully-transitions-prototypes-to-counter-foreign-malign-influence

Relevance to the Intelligence Community::

FY2022–2026 Investment Landscape--critical/non-traditional indicators of nation-state instability

Key Words: Knowledge Graph (KG); domain specific ontologies; taxonomies, adherence to best practices; KG evaluation---accuracy, completeness, data provenance, transparency, and ethical AI/ML employment; test sample KGs against developed criteria; linking convergences within multiple KGs; acquire and review publicly available and commercially available data sets; normalizing data sets to provided ontologies; AI/ML applications in IC
"
Understanding Artificial Intelligence Risk to National Security,Zintellect,United States • via Zintellect,2025-01-08T20:39:27.906200,"As the IC continues to operationalize AI, it is paramount that we better understand and interdict these problems before they manifest in systems that are relevant to national security
Key Words: Artificial Intelligence, Control Problem, Machine Learning, Deep Learning, Explainability, Alignment, Mesa Optimization, Complexity, Game Theory","As the IC continues to operationalize AI, it is paramount that we better understand and interdict these problems before they manifest in systems that are relevant to national security; Key Words: Artificial Intelligence, Control Problem, Machine Learning, Deep Learning, Explainability, Alignment, Mesa Optimization, Complexity, Game Theory","As the IC continues to operationalize AI, it is paramount that we better understand and interdict these problems before they manifest in systems that are relevant to national security
Key Words: Artificial Intelligence, Control Problem, Machine Learning, Deep Learning, Explainability, Alignment, Mesa Optimization, Complexity, Game Theory","As the IC continues to operationalize AI, it is paramount that we better understand and interdict these problems before they manifest in systems that are relevant to national security; Key Words: Artificial Intelligence, Control Problem, Machine Learning, Deep Learning, Explainability, Alignment, Mesa Optimization, Complexity, Game Theory",,,,,"Research Topic Description, including Problem Statement:

Artificial Intelligence (AI) represents a new paradigm for the Intelligence Community. While AI promises to automate many collection and analytic processes, it does not come without significant risk. For example, machine learning algorithms such as deep learning neural networks are often opaque in their decision-making processes (termed the
“Explainability Problem”) or may not comport with human values or decision-making standards (termed the “Alignment Problem”). Additionally, as more capable AI systems are given meaningful control over various types of systems, the ability to control or influence AI decision making diminishes (termed the “Control Problem”). As the IC continues to operationalize AI, it is paramount that we better understand and interdict these problems before they manifest in systems that are relevant to national security.

Example Approaches:

Develop mathematical models of decision-making in deep learning neural networks; Explore statistical methods of minimizing bias in training data sets; Examine potential game theoretic solutions to the Control Problem; Develop mathematical models of reinforcement learning systems; Examine mathematical approaches to understanding mesa optimization.

Relevance to the Intelligence Community:

Artificial Intelligence/Machine Learning (AI/ML); Artificial Intelligence – Autonomous Systems; Artificial Intelligence – Deep Learning; Artificial Intelligence – Information Assurance; Artificial Intelligence – Machine Learning; Data – Integration; Data – Modeling and Prediction; System of Systems – Networks; Other – Unexpected; Other – Convergent.

Key Words: Artificial Intelligence, Control Problem, Machine Learning, Deep Learning, Explainability, Alignment, Mesa Optimization, Complexity, Game Theory
"
"Staff Machine Learning Scientist, Intern - Summer 2025",Visa,"Foster City, CA • via Huzzle",2025-01-08T20:39:38.228311,"Last, but not the least, you can join the efforts of synthetic data engineering which looks to create an efficient data factory running various learning and generative models for Visa’s data at scale while respecting all requirements for security, compliance, and privacy
Students pursuing a Ph.D. with a graduation date in December 2025 or later
Strong communications skills, specifically, the absence of repeated grammatical or typographical errors, clear and concise written and spoken communications that demonstrate professional judgment
The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, frequently operate standard office equipment, such as telephones and computers
Visa will consider for employment qualified applicants with criminal histories in a manner consistent with applicable local law, including the requirements of Article 49 of the San Francisco Police Code","Last, but not the least, you can join the efforts of synthetic data engineering which looks to create an efficient data factory running various learning and generative models for Visa’s data at scale while respecting all requirements for security, compliance, and privacy; Students pursuing a Ph.D. with a graduation date in December 2025 or later; Strong communications skills, specifically, the absence of repeated grammatical or typographical errors, clear and concise written and spoken communications that demonstrate professional judgment; The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, frequently operate standard office equipment, such as telephones and computers; Visa will consider for employment qualified applicants with criminal histories in a manner consistent with applicable local law, including the requirements of Article 49 of the San Francisco Police Code","Last, but not the least, you can join the efforts of synthetic data engineering which looks to create an efficient data factory running various learning and generative models for Visa’s data at scale while respecting all requirements for security, compliance, and privacy
Students pursuing a Ph.D. with a graduation date in December 2025 or later
Strong communications skills, specifically, the absence of repeated grammatical or typographical errors, clear and concise written and spoken communications that demonstrate professional judgment
The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, frequently operate standard office equipment, such as telephones and computers
Visa will consider for employment qualified applicants with criminal histories in a manner consistent with applicable local law, including the requirements of Article 49 of the San Francisco Police Code","Last, but not the least, you can join the efforts of synthetic data engineering which looks to create an efficient data factory running various learning and generative models for Visa’s data at scale while respecting all requirements for security, compliance, and privacy; Students pursuing a Ph.D. with a graduation date in December 2025 or later; Strong communications skills, specifically, the absence of repeated grammatical or typographical errors, clear and concise written and spoken communications that demonstrate professional judgment; The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, frequently operate standard office equipment, such as telephones and computers; Visa will consider for employment qualified applicants with criminal histories in a manner consistent with applicable local law, including the requirements of Article 49 of the San Francisco Police Code","Or you can help create a forward-looking AI Governance solution to solve new challenges brought by Generative AI, including solutions to issues of AI fairness and explain-ability
U.S. APPLICANTS ONLY: The estimated hourly range for a new hire into this position is $53.00 to $58.00 which may include potential sales incentive payments (if applicable)
Salary may vary depending on job-related factors which may include knowledge, skills, experience, and location
In addition, this position may be eligible for bonus and equity
Visa has a comprehensive benefits package for which this position may be eligible that includes Medical, Dental, Vision, 401 (k), FSA/HSA, Life Insurance, Paid Time Off, and Wellness Program","Or you can help create a forward-looking AI Governance solution to solve new challenges brought by Generative AI, including solutions to issues of AI fairness and explain-ability; U.S. APPLICANTS ONLY: The estimated hourly range for a new hire into this position is $53.00 to $58.00 which may include potential sales incentive payments (if applicable); Salary may vary depending on job-related factors which may include knowledge, skills, experience, and location; In addition, this position may be eligible for bonus and equity; Visa has a comprehensive benefits package for which this position may be eligible that includes Medical, Dental, Vision, 401 (k), FSA/HSA, Life Insurance, Paid Time Off, and Wellness Program","Or you can help create a forward-looking AI Governance solution to solve new challenges brought by Generative AI, including solutions to issues of AI fairness and explain-ability
U.S. APPLICANTS ONLY: The estimated hourly range for a new hire into this position is $53.00 to $58.00 which may include potential sales incentive payments (if applicable)
Salary may vary depending on job-related factors which may include knowledge, skills, experience, and location
In addition, this position may be eligible for bonus and equity
Visa has a comprehensive benefits package for which this position may be eligible that includes Medical, Dental, Vision, 401 (k), FSA/HSA, Life Insurance, Paid Time Off, and Wellness Program","Or you can help create a forward-looking AI Governance solution to solve new challenges brought by Generative AI, including solutions to issues of AI fairness and explain-ability; U.S. APPLICANTS ONLY: The estimated hourly range for a new hire into this position is $53.00 to $58.00 which may include potential sales incentive payments (if applicable); Salary may vary depending on job-related factors which may include knowledge, skills, experience, and location; In addition, this position may be eligible for bonus and equity; Visa has a comprehensive benefits package for which this position may be eligible that includes Medical, Dental, Vision, 401 (k), FSA/HSA, Life Insurance, Paid Time Off, and Wellness Program","Company Description

Visa is a world leader in payments and technology, with over 259 billion payments transactions flowing safely between consumers, merchants, financial institutions, and government entities in more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable, and secure payments network, enabling individuals,
businesses, and economies to thrive while driven by a common purpose – to uplift everyone, everywhere by being the best way to pay and be paid.

Make an impact with a purpose-driven industry leader. Join us today and experience Life at Visa.

Job Description

Unleash the world scientist within you this summer! Inspired by Richard P. Feynman's maxim, “You do any problem that you can, regardless of field,” we're inviting you to contribute your innovative skills in cross-industry advancement of science and humanity at VISA, the technology giant at the forefront of billions of global credit payments. We’re calling all physical scientists to venture into our world of ML/AI.

The mission? To uncover fundamental truths hidden in the vast and largely untapped domain of Payment transactions, a realm as complex and intriguing as Physical interactions. Just as scientists construct effective models to make sense of real-world data, we strive to unearth elemental factors driving billions of transactions per day. With the rise of neural network-based deep learning in Physics, we're pioneering the use of these techniques to revolutionize global commerce.

And we're sitting on a gold mine of data and potential applications in the field of payments. As the world transitions from paper and metallic currency to digital payments, the need for solutions in credit, fraud protection, and security is accelerating. With VisaNet, the world's largest fully connected and controlled information network, we're at the forefront of this change, and your background in mathematical modelling, statistics, probability, big data handling, and problem-solving could help shape this future. With $185T in unrealized flows, the opportunity to revolutionize modes of interaction such as C2B, B2B, G2C, and more, awaits you.

Our vast data, the essential simplicity of our base problems, and the rapid advances in ML/AI, especially Generative AI, provide the perfect playground for making breakthroughs in ML/AI, Data Science, and Security. Join us in spearheading innovations in Foundational Machine Learning and leading-edge AI, with ample opportunity to drive patents and papers in top conferences and journals. This summer, turn the world of commerce into your laboratory. Apply for our internship program, and let's reshape the future together!

This position is for a Staff Machine Learning Scientist, Intern with understanding and experience in deep learning, who may be interested in applying deep learning to the world of payments:
• You can be part of a team building AI solutions used by billions of Visa cardholders, pushing the boundaries and tradeoffs among accuracy, latency, throughput, and cost.
• Or you can apply the breakthroughs of transformers and high-performance computing to financial data - Visa has a unique dataset of decades of financial transactions - with a unique dataset, we have an opportunity to create unique generative models, that no one else can. Or you can build tools and processes for experimentation, simulation, testing, and validation of AI models, merging advanced AI techniques with Gen AI capabilities
• - this unique combination not only ensures the observability of AI models, but also enhances their interpretability, paving the way for clear and comprehensive insights.
• Or you can help create a forward-looking AI Governance solution to solve new challenges brought by Generative AI, including solutions to issues of AI fairness and explain-ability.
• Last, but not the least, you can join the efforts of synthetic data engineering which looks to create an efficient data factory running various learning and generative models for Visa’s data at scale while respecting all requirements for security, compliance, and privacy.

Some job duties and projects could include
• Collaborate with the team manager of the embedded team to come up with a proposal of work that bridges Deep Learning knowledge with a problem that the team is trying to solve.
• Execute the proposal with coding and design in Visa’s engineering environment and datacenters, with a demo that showcases the contribution made during the visit.
• Evangelize and grow deep learning knowledge within the team and outside based on the work.

Qualifications

Basic Qualifications
• Students pursuing a Ph.D. with a graduation date in December 2025 or later
• Strong communications skills, specifically, the absence of repeated grammatical or typographical errors, clear and concise written and spoken communications that demonstrate professional judgment.

Preferred Qualifications
• Experience in innovative and new areas such as Machine Learning, Deep Learning, MLOps.
• Experience with hands-on development, solving a range of modeling problems, e.g Predictive Modeling, Reinforcement Learning, Large Language Models (LLMs)
• History of published papers or conference presentations on Deep Learning
• Experience in software engineering, with the ability to develop large scale and low latency infrastructure for deep learning data, modeling, and system evaluation.
• Experience in using at least one mainstream deep learning frameworks (PyTorch/TensorFlow).
• Understanding of Transformer architectures and their applications.
• Familiarity with the latest advancements in LLMs and generative AI technologies.
• Author for publications at top-ranked, peer-reviewed AI conferences/journals.
• Expertise in at least one of the following: Golang, Java, Python, or C/C++

Additional Information

U.S. APPLICANTS ONLY: The estimated hourly range for a new hire into this position is $53.00 to $58.00 which may include potential sales incentive payments (if applicable). Salary may vary depending on job-related factors which may include knowledge, skills, experience, and location. In addition, this position may be eligible for bonus and equity. Visa has a comprehensive benefits package for which this position may be eligible that includes Medical, Dental, Vision, 401 (k), FSA/HSA, Life Insurance, Paid Time Off, and Wellness Program.

Work Hours: Varies upon the needs of the department.

This is a hybrid position: Hybrid employees can alternate time between both remote and office. Employees in hybrid roles are expected to work from the office 2-3 set days a week (determined by leadership/site), with a general guidepost of being in the office 50% or more of the time based on business needs.

Travel Requirements: This position requires travel 5-10% of the time.

Mental/Physical Requirements: This position will be performed in an office setting. The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, frequently operate standard office equipment, such as telephones and computers.

Visa is an EEO Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law.

Visa will consider for employment qualified applicants with criminal histories in a manner consistent with applicable local law, including the requirements of Article 49 of the San Francisco Police Code.
"
