Title,Company,Location,Timestamp,Job Highlights,Job Highlights Items,Qualifications,Qualifications Items,Benefits,Benefits Items,Responsibilities,Responsibilities Items,Job Description
"Research Intern, Responsible AI","Meta Platforms, Inc.","New York, NY • via Karkidi",2025-01-08T20:57:20.718229,"Currently has, or is in the process of obtaining a PhD degree
Experience in C++, Java or other related language
Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorisation during employment","Currently has, or is in the process of obtaining a PhD degree; Experience in C++, Java or other related language; Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorisation during employment","Currently has, or is in the process of obtaining a PhD degree
Experience in C++, Java or other related language
Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorisation during employment","Currently has, or is in the process of obtaining a PhD degree; Experience in C++, Java or other related language; Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorisation during employment",,,,,"Facebook is seeking Research Interns to join various teams in developing next generation products and platforms doing research and engineering at scale. As a Research Intern, you will help us bring the best of Artificial Intelligence technology to Facebook products. Our efforts are to push the bar in three directions: build reliable platforms that scale to thousands of engineers, push state of the
art in AI for maximum product impact and build new experiences using AI. The duration of this internship is 16 weeks with Summer, Fall, and Winter start dates. Internships will be awarded on a rolling basis and candidates are encouraged to apply early. To learn more about our research visit https://research.facebook.com

Research Intern, Responsible AI Responsibilities
• Perform research to advance the science and technology of intelligent machines
• Devise better data-driven models of human behaviour
• Contribute research that can be applied to Facebook product development
• Perform specific responsibilities which vary by team

Minimum Qualifications
• Currently has, or is in the process of obtaining a PhD degree
• Experience in C++, Java or other related language
• Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorisation during employment

Preferred Qualifications
• Intent to return to degree-program after the completion of the internship/co-op
• Extensive experience solving analytical problems using quantitative approaches
• Comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources
• A strong interest in theoretical and empirical research and for answering hard questions with research
• Ability to communicate complex research in a clear, precise, and actionable manner
• Experience building systems based on machine learning, reinforcement learning and/or deep learning methods
"
"Research Intern - FATE NYC (Fairness, Accountability, Transparency, and Ethics in AI)",Microsoft,"New York, NY • via Glassdoor",2025-01-08T20:57:30.882376,"Applicants should have a demonstrated interest in FATE-related topics and a desire to work in a highly interdisciplinary environment
We welcome applicants with backgrounds in technical fields (e.g., machine learning, artificial intelligence, natural language processing, computer vision, statistics) and applicants with backgrounds in sociotechnical fields (e.g., anthropology, history of science, history of technology, human-computer interaction, information science, law, media studies, philosophy, science and technology studies, sociology)
Currently enrolled in a relevant PhD program or JD (Juris Doctorate) program
Research Interns are expected to be physically located in their manager’s Microsoft worksite location for the duration of their internship
In addition to the qualifications below, you’ll need to submit a minimum of two reference letters for this position as well as a cover letter and any relevant work or research samples
We want to learn about the kinds of research that interest you","Applicants should have a demonstrated interest in FATE-related topics and a desire to work in a highly interdisciplinary environment; We welcome applicants with backgrounds in technical fields (e.g., machine learning, artificial intelligence, natural language processing, computer vision, statistics) and applicants with backgrounds in sociotechnical fields (e.g., anthropology, history of science, history of technology, human-computer interaction, information science, law, media studies, philosophy, science and technology studies, sociology); Currently enrolled in a relevant PhD program or JD (Juris Doctorate) program; Research Interns are expected to be physically located in their manager’s Microsoft worksite location for the duration of their internship; In addition to the qualifications below, you’ll need to submit a minimum of two reference letters for this position as well as a cover letter and any relevant work or research samples; We want to learn about the kinds of research that interest you","Applicants should have a demonstrated interest in FATE-related topics and a desire to work in a highly interdisciplinary environment
We welcome applicants with backgrounds in technical fields (e.g., machine learning, artificial intelligence, natural language processing, computer vision, statistics) and applicants with backgrounds in sociotechnical fields (e.g., anthropology, history of science, history of technology, human-computer interaction, information science, law, media studies, philosophy, science and technology studies, sociology)
Currently enrolled in a relevant PhD program or JD (Juris Doctorate) program
Research Interns are expected to be physically located in their manager’s Microsoft worksite location for the duration of their internship
In addition to the qualifications below, you’ll need to submit a minimum of two reference letters for this position as well as a cover letter and any relevant work or research samples
We want to learn about the kinds of research that interest you","Applicants should have a demonstrated interest in FATE-related topics and a desire to work in a highly interdisciplinary environment; We welcome applicants with backgrounds in technical fields (e.g., machine learning, artificial intelligence, natural language processing, computer vision, statistics) and applicants with backgrounds in sociotechnical fields (e.g., anthropology, history of science, history of technology, human-computer interaction, information science, law, media studies, philosophy, science and technology studies, sociology); Currently enrolled in a relevant PhD program or JD (Juris Doctorate) program; Research Interns are expected to be physically located in their manager’s Microsoft worksite location for the duration of their internship; In addition to the qualifications below, you’ll need to submit a minimum of two reference letters for this position as well as a cover letter and any relevant work or research samples; We want to learn about the kinds of research that interest you","The base pay range for this internship is USD $6,550 - $12,880 per month
There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $8,480 - $13,920 per month
Certain roles may be eligible for benefits and other compensation","The base pay range for this internship is USD $6,550 - $12,880 per month; There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $8,480 - $13,920 per month; Certain roles may be eligible for benefits and other compensation","The base pay range for this internship is USD $6,550 - $12,880 per month
There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $8,480 - $13,920 per month
Certain roles may be eligible for benefits and other compensation","The base pay range for this internship is USD $6,550 - $12,880 per month; There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $8,480 - $13,920 per month; Certain roles may be eligible for benefits and other compensation","Research Internships at Microsoft provide a dynamic environment for research careers with a network of world-class research labs led by globally-recognized scientists and engineers, who pursue innovation in a range of scientific and technical disciplines to help solve complex challenges in diverse fields, including computing, healthcare, economics, and the environment.

Microsoft Research, New Yor
k City (MSR NYC) is looking for multiple Research Interns to collaborate with members of the Fairness, Accountability, Transparency, and Ethics in AI (FATE) research group. A list of researchers in the FATE group can be found here. Members of the group collaborate extensively with each other and with other groups across Microsoft.

This group is interested in research including but not limited to: sociotechnical approaches to AI evaluation/measurement; developing statistical, computational, and visualization methodologies for AI evaluation/measurement; the challenges of responsible AI in industry practice; institutional studies; AI law and policy; cultural, economic, and environmental impacts of AI; AI transparency; human-AI interaction; and a wide range of topics that address AI’s social impacts from a diversity of disciplinary perspectives.

Applicants should have a demonstrated interest in FATE-related topics and a desire to work in a highly interdisciplinary environment. We welcome applicants with backgrounds in technical fields (e.g., machine learning, artificial intelligence, natural language processing, computer vision, statistics) and applicants with backgrounds in sociotechnical fields (e.g., anthropology, history of science, history of technology, human-computer interaction, information science, law, media studies, philosophy, science and technology studies, sociology).

Applicants to the FATE internship may also be interested in applying for the separate STAC internship. Applicants interested in multiple internship opportunities should apply to each posting separately.

Research Intern STAC (Sociotechnical Alignment Center) | Microsoft Careers

Responsibilities

Required Qualifications
• Currently enrolled in a relevant PhD program or JD (Juris Doctorate) program.

Other Requirements
• Research Interns are expected to be physically located in their manager’s Microsoft worksite location for the duration of their internship.
• In addition to the qualifications below, you’ll need to submit a minimum of two reference letters for this position as well as a cover letter and any relevant work or research samples. After you submit your application, a request for letters may be sent to your list of references on your behalf. Note that reference letters cannot be requested until after you have submitted your application, and furthermore, that they might not be automatically requested for all candidates. You may wish to alert your letter writers in advance, so they will be ready to submit your letter.
• Applications (including reference letters) should be submitted by December 18 for full consideration but will be accepted until all positions are filled. Applicants who do not submit a cover letter may not be considered. Your cover letter should be no more than 2 pages long. Please address the following points:
• Include your name, email address, and website URL.
• Briefly describe your current research, and how it connects with the focus of the MSR NYC FATE research group (see Overview for a list of some of the group’s current research interests).
• What kinds of methodologies have you applied in your research/are you most familiar with? (E.g., coding, statistics, large scale data analysis, theoretical/mathematical analysis, user studies, experimental design, ethnography, etc.)
• We want to learn about the kinds of research that interest you. Are there particular projects you would like to do during your internship? Recent (MSR or non-MSR) research or ideas you’ve come across that you are particularly interested in? What, to you, makes for a good project/what are you looking for in a project?
• All researchers in the group review every application. However, if you want to indicate which MSR NYC researchers you would be especially interested in working with, you may optionally do so.

Preferred Qualifications
• Demonstrated ability to conduct original research.
• Ability to collaborate effectively with other researchers and product development teams.
• Proficient interpersonal skills, cross-group, and cross-culture collaboration.
• Ability to think unconventionally to derive creative and innovative solutions.

The base pay range for this internship is USD $6,550 - $12,880 per month. There is a different range applicable to specific work locations, within the San Francisco Bay area and New York City metropolitan area, and the base pay range for this role in those locations is USD $8,480 - $13,920 per month.

Certain roles may be eligible for benefits and other compensation. Find additional benefits and pay information here: https://careers.microsoft.com/us/en/us-intern-pay

Microsoft accepts applications and processes offers for these roles on an ongoing basis.

Research Interns put inquiry and theory into practice. Alongside fellow doctoral candidates and some of the world’s best researchers, Research Interns learn, collaborate, and network for life. Research Interns not only advance their own careers, but they also contribute to exciting research and development strides. During the 12-week internship, Research Interns are paired with mentors and expected to collaborate with other Research Interns and researchers, present findings, and contribute to the vibrant life of the community. Research internships are available in all areas of research, and are offered year-round, though they typically begin in the summer.

Qualifications

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.
"
Research Intern: Responsible Tech and Open Source Solutions,IBM,New York • via Teal,2025-01-08T20:57:40.893786,"PhD or MS students pursuing graduate studies in computer science, human-computer interaction, artificial intelligence, or equivalent areas
Proficiency in Python development
Experience in Natural Language Processing
Knowledge of Responsible AI principles
Familiarity with Machine Learning techniques
Prior experience in collaborating with large open-source projects","PhD or MS students pursuing graduate studies in computer science, human-computer interaction, artificial intelligence, or equivalent areas; Proficiency in Python development; Experience in Natural Language Processing; Knowledge of Responsible AI principles; Familiarity with Machine Learning techniques; Prior experience in collaborating with large open-source projects","PhD or MS students pursuing graduate studies in computer science, human-computer interaction, artificial intelligence, or equivalent areas
Proficiency in Python development
Experience in Natural Language Processing
Knowledge of Responsible AI principles
Familiarity with Machine Learning techniques
Prior experience in collaborating with large open-source projects","PhD or MS students pursuing graduate studies in computer science, human-computer interaction, artificial intelligence, or equivalent areas; Proficiency in Python development; Experience in Natural Language Processing; Knowledge of Responsible AI principles; Familiarity with Machine Learning techniques; Prior experience in collaborating with large open-source projects","Hands-on experience in a leading research environment
Opportunity to work on cutting-edge technologies in AI and open-source development",Hands-on experience in a leading research environment; Opportunity to work on cutting-edge technologies in AI and open-source development,"Hands-on experience in a leading research environment
Opportunity to work on cutting-edge technologies in AI and open-source development",Hands-on experience in a leading research environment; Opportunity to work on cutting-edge technologies in AI and open-source development,"About the position

This internship position at IBM Research is designed for motivated students interested in computer science and artificial intelligence. The role focuses on developing and promoting an open-source recommendation system, particularly in the area of prompt engineering. Interns will engage in Python development, enhance system capabilities, and foster community involvement around t
he project.

Responsibilities
• Assist in Python development tasks for implementing new features in the open-source recommendation system.
,
• Expand the system's capabilities and functionalities.
,
• Engage with other open-source communities to promote collaboration.
,
• Boost community building around the open-source project.

Requirements
• PhD or MS students pursuing graduate studies in computer science, human-computer interaction, artificial intelligence, or equivalent areas.
,
• Proficiency in Python development.
,
• Experience in Natural Language Processing.

Nice-to-haves
• Knowledge of Responsible AI principles.
,
• Familiarity with Machine Learning techniques.
,
• Prior experience in collaborating with large open-source projects.

Benefits
• Hands-on experience in a leading research environment.
,
• Opportunity to work on cutting-edge technologies in AI and open-source development.
"
